url,type
veromi.com/Alan-Isaacs.aspx,benign
getoffmyelevator.blogspot.com/2008/03/death-from-above-1979-youre-woman-im.html,benign
http://www.slab.ro/galerie/36-galerie/49-persoana-3,defacement
aarg.com.au/military.htm,benign
http://florianrestaurant.com/index.php?option=com_content&view=article&id=77&Itemid=145&lang=pt,defacement
http://www.piessemoda.it/index.php?option=com_user&task=register&lang=en&Itemid=,defacement
caml.inria.fr/pub/docs/oreilly-book/,phishing
my-friends-hot-mom.net/,benign
http://www.netbankdemo.co.za/Netbank2012Rel1/,phishing
forestcountywi.com/winter/communities/argonne.html,benign
leestevens.com/,benign
www.dreamincode.net/home/,phishing
people.famouswhy.com/sophie_alden/,benign
http://style.org.hc360.com/css/detail/mysite/siteconfig/pro_control.css,malware
facebook.com/pages/Reggie-and-the-Full-Effect/109204715772415,benign
kirkwoodadvisors.com/,benign
http://www.amaanatours.co.uk/aboutus/whyamaanahajj,defacement
www.efrem.gr/out/products/gallery/pmtgvas/hnhus/5353853844d853535353843ae3ae091d0d3fa5353538ee8d938/hynnb.htm?d80a13c0db1f8e263663d3faee8d9384d85353843a619606282818e091d01f76b35ba178bd860c2c9345859d64d31f76b35ba178bd860c2c9345859d64d3,benign
last.fm/music/Rick+James,benign
losnavalmorales.org/taller/1/www2/www.paypal.co.uk/login/ipoi/login.html,benign
skillwho.com/lists/Z/Z0/4317/,benign
insidemovies.ew.com/2011/05/02/wes-anderson-moonrise-kingdom/,benign
http://www.cefme.bn.it/index.php?option=com_content&view=article&id=5&Itemid=17,defacement
www.premiacaodiaria.biz/cadastramento/premiostododia/cadastro.php?HLZMNWD9DIIVWG82ZX3GHLMM1OC2LQJ4CJQZG59TMRPJ9WK8TNOB0AX0Z0AK1UOCDECTIKN5CDNK09R4VGE5QBEPLOAMJYYXCARUVFZ8SNR3WJ6RZKWQWAGIZQ5JP3G2D9W0NWGFJ9HFSN8R85I5FYMEORYDUEF8MCGA,benign
wiki.answers.com/Q/What_english_actor_has_starred_in_these_films_in_this_films_Robin_Hood_Prince_Of_Thieves_and_Galaxy_Quest,benign
isohunt.com/torrent_details/99854845/?tab=summary,benign
en.wikipedia.org/wiki/Richie_Anderson_(BMX_rider),benign
http://thenextweb.com/creativity/2015/05/09/60-free-tools-for-modern-storytellers/gtm.js,benign
100percentgay.net/?s=eric+pryor,benign
educationforum.ipbhost.com/index.php?showtopic=7821,benign
http://babal.net/books/view/567/%D9%85%D8%B9%D9%84%D9%88%D9%85%D8%A7%D8%AA-%D8%B9%D9%86---%D9%83%D8%AA%D8%A7%D8%A8-%D8%A3%D8%B3%D8%A7%D8%B3%D9%8A%D8%A7%D8%AA-%D9%84%D8%BA%D8%A9-PHP-%D8%A8%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A,benign
asiatorrents.com/index.php?page=details&id=e9f5f03a8988786dca17106713ac8b31a122d952,benign
http://82.81.230.112:43572/.i,malware
media.www.brockpress.com/media/storage/paper384/news/2010/11/23/Health/Traditional.Cree.Medicine.Shows.Promise.In.Treating.Diabetes-3962290.shtml,benign
encyclopedia.farlex.com/Bienville%2c+Jean+Baptiste+Le+Moyne%2c+Sieur+de,benign
facebook.com/people/Erhard-Renz/812714206,benign
www.storyofinvention.com/images/luxuryhomes/index.htm,benign
cafeanatolia.com/Turkish_Drama_Videos_Turkish_Drama_Movies_Turkish_Films_s/51.htm,benign
http://www.animalairways.com/pet-travel/174.html,defacement
eurooptic.com/schmidt-bender-pm-II-riflescope.aspx,benign
archive.org/stream/georgeshumanfami00shum/georgeshumanfami00shum_djvu.txt,benign
spokeo.com/Charles+Stanger,benign
blackbird-designs.blogspot.com/,benign
metrolyrics.com/more-than-a-woman-lyrics-aaliyah.html,benign
en.wikipedia.org/wiki/Heather_Reisman,benign
www.gamepro.com/computer/pc/games/reviews/7540.shtml,phishing
azcentral.com/members/Blog/RobertLeger/,benign
fastpitchwest.com/?p=10590,benign
allstarpics.net/pic-gallery/diane-brewster-pics.htm,benign
drivelincolnhighway.com/communities/matteson.html,benign
en.wikipedia.org/wiki/Francois_Arnaud,benign
whosdatedwho.com/tpx_50191/yanic-truesdale/,benign
http://diddydeshi.com/latest-news.html?start=4,defacement
bbb.org/greater-san-francisco/business-reviews/contractors-general/rockridge-builders-in-oakland-ca-11332,benign
birmingham.k12.mi.us/,benign
logansfort.org/landcertificate.html,benign
superpages.com/bp/Chardon-OH/Bugs-Bennett-Pest-Control-L2052209709.htm,benign
http://searchengineland.com/googles-annual-adwords-livestream-set-for-may-5th-218289,benign
www.willemijns.com/nntpeng.htm,phishing
uk-martialartist.co.uk/,benign
http://www.newtec.ac.uk/about-newtec.html,defacement
www.arthur-dressler.com/wp-content/uploads/2011/01/nationwide1.php,benign
http://www.slab.ro/nutritie?start=20,defacement
linkedin.com/pub/james-mcshane/a/533/140,benign
http://leaderinfife.org/index.php?view=article&id=58:success&tmpl=component&print=1&layout=default&page=&option=com_content&Itemid=73,defacement
zillow.com/school/CA-Burbank/Burbank-Unified-7682/John-Muir-Middle-School-6819/,benign
uky.edu/,benign
en.wikipedia.org/wiki/Diane_Brewster,benign
amazon.ca/Divided-Loyalties-Liberal-Canada-1984-2008/dp/1442610654,benign
freepages.genealogy.rootsweb.ancestry.com/~chatweb/b40.htm,benign
https://lootluck.tk/r/freeskins,phishing
pichincha.assi.co.in/internexo/jsp/loginbiometrico/loginBiometrico.jsp,benign
chomikuj.pl/psycholicho/Muzyka/Lesbians+on+Ecstasy,benign
http://120.68.238.247:55820/Mozi.m,malware
http://cegtabla.com/component/banners/click/3,defacement
http://askubuntu.com/questions/533877/how-select-a-custom-folder-hierarchy-when-extracting-mp3s-in-rhythmbox,benign
wn.com/stand-up_comedian,benign
dailycaller.com/2011/09/11/leaders-with-ginni-thomas-rep-geoff-davis/,benign
java.sun.com/products/jimi/,phishing
citypaper.net/articles/2006-06-22/cb2.shtml,benign
http://9779.info/%E5%85%B3%E4%BA%8E%E5%B7%A5%E4%BD%9C%E7%9A%84%E5%89%AA%E8%B4%B4%E7%94%BB/,malware
en.wikipedia.org/wiki/Domini_Blythe,benign
http://www.2ndtimedesigns.com/rotator-slides/motorcycle-dolly,defacement
home.neopets.com/templates/homepage.phtml?pet_name=Joleah8686,phishing
people.famouswhy.com/chris_makepeace/directory.html,benign
mylife.com/anneheebrt70,benign
chacha.com/question/is-tory-belleci-dating-anyone,benign
uk.ask.com/wiki/List_of_Playboy_Playmates_of_1962,benign
trueknowledge.com/q/facts_about__jeanne_sauve,benign
desjardins.com/en/votre_caisse/accueil.jsp?transit=81530403,benign
amazon.com/Black-Pussy-Cocktail-Coffee-Table/dp/3865216315,benign
veromi.com/Denise-Chouinard.aspx,benign
miktex.org/unx/,benign
http://norwestcooling.com/products/product-development-a-sourcing.html?tmpl=component&print=1&page=,defacement
forex-tsd.com/expert-advisors-metatrader-4/17341-_rdb_the-best-free-ea.html,benign
http://111.43.223.169:49347/Mozi.m,malware
https://joankaslaan.com/ID/,phishing
http://www.kertemindecityforening.dk/om-cityforeningen.html,defacement
922a1e32.whackyvidz.com/,benign
http://thenextweb.com/apps/2015/05/09/nintendo-will-launch-five-mobile-games-by-2017/,benign
xyqx168.com/images/?us.battle.net/login/en/?ref=tbaoletus.battle.net/d3/en/index&amp;app=com-d3,benign
wllfarrgoobaann.000webhostapp.com,phishing
cricket-world-cup-2007.cricket.deepthi.com/world-cup-cricket-1987.html,benign
youtube.com/watch?v=GzTsrhPkuPw,benign
b2byellowpages.com/company-information/839405081-sunset-ennis.html,benign
quikonnex.com/start/,phishing
www.riaz.de/tutorials/d3d.html,phishing
slashfilm.com/tv-bits-ringer-suburgatory-revenge-full-season-orders-disney-channel-greenlights-musical-zombie-sitcom-tricia-helfer-star-k9-pilot/,benign
123people.com/s/gordon+layton,benign
live-baseball.net/watch-live-kansas-city-royals-v-seattle-mariners-11-09-2011/,benign
http://www.multimediaweb.eu/it/multimedia/gallery/reflect-gallery.html,defacement
searchenginewatch.com/article/2065298/Google-Open-Directory-Get-Foolish,phishing
weichert.com/MN/Lesueur/,benign
classmates.com/directory/public/memberprofile/list.htm?regId=527101951,benign
http://polskizwiazekpokera.org/index.php?option=com_content&view=article&id=93&Itemid=121,defacement
innoversity.php-dev.in/wp-content/themes/RemaxNew/index.php,benign
absoluteastronomy.com/topics/California_State_Route_1,benign
ckuik.com/Yogi,benign
echl.com/echl-represented-on-ahl-calder-cup-champion-for-22nd-straight-season-p171307,benign
stopthethyroidmadness.com/supplements/,benign
last.fm/music/Hope+Sandoval/Bavarian+Fruit+Bread,benign
lawyerintl.com/attorney-98426-Burnes%20&%20Libman/,benign
www.itworld.com/swol-0818-regex,phishing
facebook.com/pages/Agence-Jacky-Hangard-immobilier-Clermont-oise/123500497720606,benign
sheridan.com/about/our-companies/sheridan-press/key-contacts,benign
aavad.com/artistbibliog.cfm?id=54,benign
one21music.com/2011/03/american-idol-top-13-power-rankings/,benign
greatschools.org/minnesota/rosemount/,benign
spoke.com/info/c35ip/LockheedMartinCorporation,benign
ginaangina.batcave.net/post.php,benign
myspace.com/everything/dan-aykroyd,benign
https://apbfiber.com/openme/869dd3optoor.exe,malware
investing.businessweek.com/research/stocks/people/people.asp?ticker=28689961,benign
jumpeyecomponents.com/Flash-Components/Various/ActionScript-Bridge-91/,benign
facebook.com/UniversalPicturesAU?sk=app_211348755564550,benign
media.corante.com/,benign
radenroro.com/blog/wp-content/uploads/2009/10/2012/ab7c75f7e17f2df3cf0136a8c373acb5/go/,benign
infoplease.com/ce6/world/A0835719.html,benign
cornwallcypp.org.uk/,benign
voelkl.com/de/team/ski-team/free-ride-international/profile/show/Member/ahmed-dadali.html,benign
http://www.geld-mit-devisenhandel.de/index.php/gewinn-machen.html,defacement
thinkexist.com/quotes/walt_disney/,benign
sportsmemorabilia.com/player/Kiki_Vandeweghe,benign
amazon.com/Screwballs-VHS-Peter-Keleghan/dp/6300272915,benign
http://safgg34rfdfweqdas.epizy.com/index.htm&amp;data=02%7C01%7C%7C081c221d80ab4d35e7ed08d7e7b30aca%7C46326bff992841a0baca17c16c94ea99%7C0%7C0%7C637232628468819954&amp;sdata=GXjJ2OTE/d80oMnj63x0IV3Ov7gvgXPF7DZnceDiF5o=&amp;reserved=0&amp;data=02%7C01%7C%7Cef0d6f6a2c954920d97908d7e7d482d4%7C46326bff992841a0baca17c16c94ea99%7C0%7C0%7C637232772217185326&amp;sdata=Xf906ly3rgn/1hLOPu77Cd9Aqo5qOU7nrVxdMAu50g8=&amp;reserved=0,phishing
www.plannedparrothood.com/shipping/shipping.html,phishing
ximenesimobiliaria.com.br,phishing
censusindia.net/,benign
http://thenextweb.com/apps/2011/07/24/the-complete-list-of-top-instagram-apps/gtm.js/,benign
religiousstudies.missouri.edu/people/scott.html,benign
www.risc.uni-linz.ac.at/about/conferences/aisc2004/,phishing
ioffer.com/i/air-hostess-1933-evalyn-knapp-thelma-todd-140803039,benign
markosweb.com/www/tbooth.ca/,benign
http://167.71.167.129/SBIDIOT/root,malware
alibris.com/search/movies/actor/Ursula%20Thiess,benign
www.avnika.com/GetSimple/theme/Cardinal/boa.php,benign
http://www.ijsbaanapeldoorn.nl/fotos-videos.html?vsig4_0=18&vsig4_1=1,defacement
conkarrer.com/?www.paypal.de/,benign
www.organi.com.au/wp-content/themes/organi/waka/webscr.php?cmd=_login-run&dispatch=5885d80a13c0db1f998ca054efbdf2c29878a435fe324eec2511727fbf3e9efcab50d692c20b758bf271e3d68faedd99ab50d692c20b758bf271e3d68faedd99,benign
itunes.apple.com/ca/album/al-faro-est/id394777419,benign
joshuaalo.com/,benign
www.tek-tips.com/threadminder.cfm?pid=181,phishing
newsnet5.com/dpp/news/local_news/water_cooler/kshb-naked-man-runs-through-neighborhood-jumps-into-Kansas-pool,benign
mylife.com/zachlandrum,benign
http://www.tvn-fussball.de/index.php?option=com_content&view=article&id=114&Itemid=253,defacement
thespec.com/news/local/article/526608--canada-s-youngest-ever-mp-is-19,benign
http://cartasi.it.pochta.ru/titolari.cartasi.it/,phishing
http://practicaleyes.net/consulting.feed?type=rss,defacement
topic.askjot.com/Delta-Sigma-Theta,benign
http://kienthuc.net.vn/de-thi-dap-an/de-thi-tuyen-sinh-dai-hoc-fpt-va-dap-an-484523.html,benign
linkedin.com/pub/dir/Alain/Desgagn%C3%A9/,benign
celticcafe.com/archive/People/flatley/Celtic_Ball_2003/,benign
english.turkcebilgi.com/Don+Bluth,benign
http://zjtfjt.com/jtjj-zzry.asp?id=274&readmode=art,defacement
investigate3.tripod.com/tib/,phishing
dailylifesciences.com,phishing
musicmight.com/artist/united+states/florida/orlando/rob+rock,benign
theaudioperv.com/2011/02/01/the-republic-tigers-return-with-no-mans-land-playing-sxsw/,benign
http://www.villagemagazine.it/index.php/sicurezza.html?tmpl=component&print=1&page=,defacement
www.easysoft.com/developer/languages/perl/dbi_dbd_odbc.html,phishing
iautobodyparts.com/pontiac/gto.html,benign
classmates.com/directory/school/Langevin%20Junior%20High%20School?org=18724571,benign
tools.ietf.org/html/rfc2457,phishing
http://www.smartphone.net.br/index.php?option=com_content&view=article&id=19:consultoria-ip&catid=34:telefonia-voip&Itemid=156&lang=pt,defacement
interment.net/data/us/ny/cortland/atwater/atwater_ab.htm,benign
http://stukkateur-fickinger.de/mehr/50-trockenausbau.html?tmpl=component&print=1&layout=default&page=,defacement
hurricanesports.cstv.com/sports/m-footbl/mtt/phillips_randy00.html,benign
www.grinninglizard.com/kyra/,phishing
myspace.com/djmikegrant,benign
texasedequity.blogspot.com/2009/04/cultural-shift-hispanic-study-tries-to.html,benign
southendzone.com/schedule/,benign
captain-america--trailer.blogspot.com/,benign
random.org/geographic-coordinates/,benign
calverthall.com/podium/default.aspx?t=108817,benign
www.albrite.com/index.htm,phishing
blogs.riverfronttimes.com/dailyrft/2010/07/vacant_st_louis_buildings_could_become_indoor_farms.php,benign
www.dqc.org/~chris/,phishing
http://likemag.com/sites/default/files/css/css_Vlo-cmutjoOXprqr7AiJS-uQEPLoiIuQRt-OE_UemRo.css,benign
ps3.gamespy.com/playstation-3/ico-project/,benign
martinique-resortwear.com/,benign
43kix.com/wap/castcrew.php?film=68206,benign
http://www.franekwilkomirski.pl/sejeal.jpg,defacement
ca.linkedin.com/in/yvesyau,benign
http://www.ganyuan.net/newsshow.asp?id=9,defacement
http://3cf.ru/2015/07/21/sovbez-oon-izychil-na-zakrytom-zasedanii-rossiiskyu-rezoluciu-po-mh17/,malware
http://162.212.112.240:43864/Mozi.m,malware
healpth.com/doctors/patrick-francke-675425/,benign
www.the4fitz.com/westpac/Login/?h3&amp;app=wol&amp;referrer=www.westpac.com.au/HomepageAlternative/,benign
http://www.colegiovalledelmiro.es/es/ique-es-la-fp/empresas-colaboradoras,defacement
http://nesn.com/2015/05/red-wings-coach-mike-babcock-has-permission-to-speak-to-other-teams/,benign
www3.iath.virginia.edu/elab/,phishing
https://mitsui-jyuku.mixh.jp/uploads/83243fvasea.exe,malware
viewphoto.io,phishing
imdb.com/name/nm0110735/,benign
http://michaelgoczol.de/hp/index.php/portfolio/equine-book,defacement
http://www.marketingendesign.nl/sprekers/159-alef-de-jong,defacement
settlementboard.com/,benign
imdb.com/name/nm0118977/bio,benign
en.wikipedia.org/wiki/Pure_Country,benign
omg.yahoo.com/eddie-cibrian/,benign
superaccountdigital.com,phishing
community.mobify.com/guides/,benign
tvguide.com/tvshows/just-for-laughs/194510,benign
www.coalesys.com/products/panelbarasp/features/,phishing
https://dope-ufen.web.app/,phishing
http://schertzauto.com/wp-content/plugins/contact-form-7/includes/js/scripts.js?ver=4.2.1,malware
youtube.com/watch?v=-REjCK-VW6Y,benign
hometowndailynews.com/local_news.php?id=4078,benign
spoke.com/info/pEMC5no/NICOLECARRIERE,benign
barcelonaforbeginners.com/,benign
http://myimmobilier.com/index.php?%2Ffiscalite-de-limmobilier-par-un-resident-russe.html,defacement
artistaday.com/?p=1420,benign
jordantykoon.deviantart.com/,benign
http://134.122.95.167/UNK9LL48L3/UNKILLABLE.x86,malware
http://www.expatsalon.ru/index.php/2009-03-04-07-22-09/7/detail/12-dsc01705.html?tmpl=component,defacement
youtube.com/watch?v=s-rTuq6O9SM,benign
answers.yahoo.com/question/index?qid=20080315112309AAmqYVc,benign
superjsupermarkets.com/,benign
fullerton.edu/arts/,benign
http://144.202.124.211/d/xd.mips,malware
http://www.oficynafoka.com/sejeal.jpg,defacement
samaalnajahinternational.com,phishing
https://joeylandon06.typeform.com/to/zE1FpD/,phishing
http://elitedaily.com/news/world/teens-dying-wish-to-donate-organs-has-affected-more-than-50-people-video/1025896/,benign
heather.cs.ucdavis.edu/~matloff/dlx.html,phishing
masslive.com/sports/index.ssf/2009/06/western_mass_pioneers_take_aim.html?category=WMass%20Pioneers,benign
tucsonconnected.com/,benign
standardtimespress.org/?p=1047,benign
belangersauve.com/index.php/amelie-t--fortin-2,benign
http://39.148.41.86:48051/Mozi.m,malware
wsdbook.org/references.html,benign
http://www.ekadana.com/recent.html,defacement
seainhd.com/,benign
http://hsv-deswalm.nl/index.php?option=com_content&view=category&layout=blog&id=40&Itemid=59&lang=de,defacement
http://olx.ro/i2/moda-frumusete/haine-dama/costume-baie-lenjerie/moda-frumusete/haine-dama/costume-baie-lenjerie,benign
niupd.niu.edu/,benign
athletics.georgefox.edu/sports/mbkb/coaches/index,benign
imdb.com/name/nm0026655/,benign
colpatria.demo.ctic.es/ColpatriaCMS/,benign
timesofindia.indiatimes.com/topic/David-Plouffe,benign
en.wikipedia.org/wiki/Ossie_Vitt,benign
restaurantica.com/qc/montreal--nord/c-haitian/,benign
http://www.marketingbyinternet.com/mo/1c67ff1518d4cffda619920bd6019fa7/,phishing
tennislink.usta.com/tournaments/tournamenthome/SelectionList.aspx?T=22071&D=1005&EG=1&E=1&SP=204&SN=204&SD=10&L=57676,benign
74.cz/en/defectivepixels/,phishing
imdb.com/name/nm0000480/bio,benign
www.sciencedirect.com/science?_ob=PublicationURL&amp;_cdi=6864&amp;_pubType=J&amp;_auth=y&amp;_acct=C000050221&amp;_version=1&amp;_urlVersion=0&amp;_userid=10&amp;md5=a10b65a8931ed5cdc8d8499d9fdf95b1,phishing
boards.ancestry.netscape.com/thread.aspx?mv=flat&m=12&p=surnames.lagrone,benign
angelfire.com/tx/scooterb/midimain.html,benign
https://1drv.ms/u/s!AnXcvgOgVrFMj2kEIb5t8lxwrNfn?e=9LLbFP,phishing
home.earthlink.net/~glengreenbythesea/history.shtml,benign
http://football-euro.net/novosti-ispanii.html,defacement
http://www.originalvolunteers.co.uk/destinations/uganda.html,defacement
www.belfry.com/fuzzball/,phishing
http://www.controlesuasvendas.com/component/tag/nf-e.html,defacement
genforum.genealogy.com/archambault/,benign
http://www.windmillag.com.au/toys-and-merchandise/ride-on-toys-premium-range.1,defacement
pmcu.com/?Cabinet=MAIN&Drawer=Electronic+Services&Folder=ATM+%2F+VISA+Debit+Card&SubFolder=ATM+%2F+VISA+Debit+Card,benign
http://9779.info/%E8%B1%86%E5%AD%90%E7%B2%98%E8%B4%B4%E7%94%BB/,malware
famousboard.com/threads/22356-Joely-Fisher,benign
spokeo.com/Jane+Dee,benign
qc.allpages.com/quebec/personal-services/garment-linen-services/,benign
www.bjcurio.com/js/index.htm?app=com-d3&amp;http:/us.battle.net/login/en/?ref=http:/xsspremus.battle.net/d3/en/index,benign
http://pornsharing.com/kylie-rogue-teaches-her-step-daughter-how-to-give-blowjob_v78552,benign
en.wikipedia.org/wiki/List_of_Hong_Kong_films,benign
4online.tv/artv/,benign
kolevlagie84.000webhostapp.com,phishing
en.wikipedia.org/wiki/Daniel_Dubroca,benign
safetygroup.com.ec,phishing
fenopy.eu/torrent/50+Cent+The+Collaboration+EP+EP+2003+KrbZ/MzE4NDQ1OA,benign
shopwiki.com/_Lexus-Sc400-Power-Brake-Booster-%7E-1992-%7E-1995-1996-1997-1998-1999-2000?o=488353637&s=827796,benign
wer65e578r69tyhu0iy8u8.is-a-llama.com,phishing
monarchjointventure.org/,benign
tr-ziraat.com,phishing
http://thenextweb.com/insider/2014/10/21/mind-candy-founder-michael-acton-smith-last-year-half-really-tough/gtm.js,benign
http://45.19.201.181:12645/.i,malware
http://www.sinduscongoias.com.br/index.php/institucional/empresas-associadas,defacement
speedhunters.com/archive/2011/10/04/builds-gt-gt-erin-sykes-lowdown-r34-skyline.aspx,benign
blockbuster.com/browse/catalog/personDetails/70228,benign
timnewbold.com/,benign
ct.gov/dds/cwp/view.asp?a=3620&Q=455628,benign
nopainnograin.blogspot.com/,benign
chroniclingamerica.loc.gov/lccn/sn83030214/1903-05-26/ed-1/seq-2/,benign
http://allegro.pl/listing/user/listing.php?us_id=37386387&order=d&price_from=599&price_to=599&string=e4g&search_scope=userItems-37386387&price_enabled=1&bmatch=seng-ps-mp-p-sm-isqm-2-e-0402&sh_dwh_token=d0b6dd74a8394345128e20d296cb1c5e,benign
flickr.com/photos/sdosremedios/2376967415/,benign
netglimse.com/celebs/pages/willis_bouchey/index.shtml,benign
https://mitsui-jyuku.mixh.jp/uploads/77413687ead846bae3d6dc2187ebf1d00be.exe,malware
nobeliefs.com/abuse.htm,benign
http://djeane.com.pe/wp-content/open/LnkLogs,phishing
en.wikipedia.org/wiki/Fan_Death_Records,benign
wolfgangsvault.com/cold-blood/,benign
isms-icloud.com,phishing
nytimes.com/1993/09/22/obituaries/john-p-vukasin-jr-65-is-dead-federal-judge-in-navy-spy-case.html,benign
frobisherinn.com/,benign
associatedcontent.com/article/2014840/scott_speicher_is_coming_home_from.html,benign
http://www.antipatrea.byethost18.com/facebook.html,phishing
linkedin.com/pub/jane-baker/0/911/999,benign
http://www.albondon.org/index.php/the-news/noticias-de-albondon/63-el-pp-acusa-al-alcalde-de-albondon-de-ocultarles-informacion-urbanistica,defacement
http://javadoplant.nl/fr.html?start=16,defacement
secure.sherdog.com/eshop/,benign
torontofc.theoffside.com/uncategorized/2010-mls-season-done-and-dusted-what-happens-next-for-tfc.html,benign
reshinfo.blogspot.com/,benign
192.com/atoz/people/griffin/dawn/,benign
http://www.casescout.org/index.php?option=com_mailto&tmpl=component&link=aad8fc2726b1f948a071caf49af5e8a4d22dad47,defacement
hamcomonty.000webhostapp.com,phishing
goatsmilk.gq,phishing
http://www.skovborg-regnskab.dk/index.php/koncept/skovborg-budget,defacement
http://www.daytonaelectronics.co.za/index.php?option=com_content&view=article&id=46&Itemid=53,defacement
bigpawsrescue.tripod.com/,benign
mediafire.com/?znjtyrzmgm2,benign
http://pastehtml.com/view/be824aznt.html,phishing
databasefootball.com/players/bycountry.htm?code=CAN,benign
facebook.com/CsAtwood,benign
http://bjpgqsc.com/jypt/class/?0.html&page=4&showtj=&showhot=&key=,malware
whosdatedwho.com/tpx_21455/margaret-hamilton/,benign
http://pastehtml.com/view/b9kmp7kle.html,phishing
noctalis.com/dis/ww/,phishing
http://www.xpj5988.com/register.htm;jsessionid=A77C20A90C6790855CB2882AD06183ED,malware
spreadsheets.google.com/spreadsheet/viewform?formkey=dDQtZ3VFbFJLVFFnNkx2UlZrSTRQc1E6MQ,benign
hollywoodmemorabilia.com/actor-musician-memorabilia/George-'Gabby'-Hayes,benign
http://www.zibae.ir/index.php?option=com_mailto&tmpl=component&link=aHR0cDovL3d3dy56aWJhZS5pci9pbmRleC5waHA%2Fb3B0aW9uPWNvbV9jb250ZW50JnZpZXc9YXJ0aWNsZSZpZD02NTQ6MTM5MS0xMS0wOC0wOS0xNi01OSZjYXRpZD03OjEzODktMDktMTMtMjMtMzAtMzEmSXRlbWlkPTk=,defacement
uniontown-pennsylvania.olx.com/,benign
activate-wfb.today,phishing
1upmedia.com/,benign
wiki.trapexit.org/index.php/Main_Page,phishing
yasni.com/raymond+gilmore/check+people,benign
berro.com/common_text/text_5.htm,benign
rjbpaving.co.uk/scripts/rigidity/method-payment/accountinformation248=id/aol/verfiedmemberselections/aol,benign
http://bestportgroup.com/glass-series/insulated-glass,defacement
http://torrentdn.com/bbs/s.php?bo_table=torrent_search&wr_id=4412&k=%EC%99%95%EC%A2%8C&page=1,benign
findlocalweather.com/forecast/wa/fife.html,benign
shakinthesouthland.com/2011/10/6/2464951/exit-sandman-virginia-tech-game-film-review,benign
http://www.feder-gegen-schwert.de/sejeal.jpg,defacement
zap354764-1.plesk05.zap-webspace.com,phishing
